ะ,ITEM NO.,Name,Group,Order,Supplier,Q.,Unit PO, Cost PO,Q.,Unit For Stock, Cost For Stock,Q.,Unit For Recipe, Cost For Recipe,Price Update 
228,FZ-0023,เอโร่ ข้าวโพดหวานแช่แข็ง 1 กิโลกรัม,FZ,23,แม็คโคร,1,แพ็ค,  63.00 ,1,แพ็ค, ฿ 63.00 ,1000,กรัม, ฿ 0.06 ,
229,FZ-0024,แทลลียส์ ถั่วลันเตาแช่แข็ง 1 กิโลกรัม,FZ,24,แม็คโคร,1,แพ็ค,  79.00 ,1,แพ็ค, ฿ 79.00 ,1000,กรัม, ฿ 0.08 ,
249,FZ-0025,อลาวรี่ เนยชนิดจืด 1 กิโลกรัม x 100 ถ้วย,FZ,25,แม็คโคร,1,กล่อง,  480.00 ,1,กล่อง, ฿ 480.00 ,100,ตลับ, ฿ 4.80 ,
254,FZ-0026,ทองหยอดไข่ปลา (500 กรัม/1กล่อง),FZ,26,SK SUPPLY,1,กล่อง,  130.00 ,1,กล่อง, ฿ 130.00 ,500,กรัม, ฿ 0.26 ,
273,FZ-0027,เดลิเฟรช มาสคาโพนเน่ 450 กรัม,FZ,27,แม็คโคร,1,กระปุก,  240.00 ,1,กระปุก, ฿ 240.00 ,450,กรัม, ฿ 0.53 ,
288,FZ-0028,เอ็นข้อไก่แช่แข็ง 1 กิโลกรัม,FZ,28,แม็คโคร,1,แพ็ค,  229.00 ,1,แพ็ค, ฿ 229.00 ,1000,กรัม, ฿ 0.23 ,26/03/26
305,FZ-0029,ปลาหมึกกล้วยบั้งตา,FZ,29,แม็คโคร,1,ถุง,  189.00 ,1,ถุง, ฿ 189.00 ,1000,กรัม, ฿ 0.19 ,
306,FZ-0030,เอโร่ เนื้อหอยแมลงภู่ชิลีแช่แข็ง (100-200 ตัว/กก.) 1 กก.,FZ,30,แม็คโคร,1,แพ็ค,  150.00 ,1,กิโล, ฿ 150.00 ,200,ตัว, ฿ 0.75 ,
325,FZ-0031,"เอโร่ แผ่นแป้งโรตีแช่แข็ง 1,600 กรัม x 20 แผ่น",FZ,31,แม็คโคร,1,แพ็ค,  199.00 ,1,แพ็ค, ฿ 199.00 ,20,แผ่น, ฿ 9.95 ,
353,FZ-0032,แซลมอนเทร้ารมควันสไลซ์แช่แข็ง 500 กรัม,FZ,32,แม็คโคร,1,แพ็ค,  585.00 ,1,แพ็ค, ฿ 585.00 ,500,กรัม, ฿ 1.17 ,
381,FZ-0033,ขนมจีบ 33 ลูก/กล่อง,FZ,33,น้าอ้อย,1,กล่อง,  100.00 ,1,กล่อง, ฿ 100.00 ,50,ลูก, ฿ 2.00 ,
382,FZ-0034,จีเอสบี ไส้กรอกไก่คอกเทล 3000 กรัม,FZ,34,แม็คโคร,1,แพ็ค,  199.00 ,1,แพ็ค, ฿ 199.00 ,3000,กรัม, ฿ 0.07 ,
383,FZ-0035,เจ้ควิก แป้งลอดช่องสิงคโปร์ 500 กรัม,FZ,35,แม็คโคร,1,แพ็ค,  49.00 ,1,แพ็ค, ฿ 49.00 ,500,กรัม, ฿ 0.10 ,
384,FZ-0036,เซพแพ็ค เฟรนช์ฟรายส์แช่แข็ง ขนาด 12 มม.แพ็ค 2 กิโลกรัม,FZ,36,แม็คโคร,1,แพ็ค,  149.00 ,1,แพ็ค, ฿ 149.00 ,2000,กรัม, ฿ 0.07 ,
385,FZ-0037,หอยแมลงภู่ครึ่งฝาแช่แข็ง (ขนาด 30-40 ตัว/กก.) 1 กก.,FZ,37,แม็คโคร,1,แพ็ค,  105.00 ,1,แพ็ค, ฿ 105.00 ,1000,กรัม, ฿ 0.11 ,
386,FZ-0038,เอเอฟเอ็ม ลูกชิ้นปลาเยาวราช แบบรักบี้ 1000 กรัม,FZ,38,แม็คโคร,1,แพ็ค,  95.00 ,1,แพ็ค, ฿ 95.00 ,1000,กรัม, ฿ 0.10 ,
387,FZ-0039,ลูกชิ้นกุ้งระเบิด 500 กรัม,FZ,39,ตลาดสด,1,แพ็ค,  100.00 ,1,แพ็ค, ฿ 100.00 ,500,กรัม, ฿ 0.20 ,
388,FZ-0040,ปลาอินทรีย์หั่นแว่น กรัม/ชิ้น,FZ,40,สุดทะเล,1,ชิ้น,  100.00 ,1,ชิ้น, ฿ 100.00 ,1,ชิ้น, ฿ 100.00 ,
389,FZ-0041,ปลากะพงขาวแล่ชิ้น 200 กรัม/ชิ้น,FZ,41,สุดทะเล,1,ชิ้น,  120.00 ,1,ชิ้น, ฿ 120.00 ,1,ชิ้น, ฿ 120.00 ,
390,FZ-0042,ปลาเเซลมอนนอร์เวย์แล่ 100 กรัม/ชิ้น,FZ,42,สุดทะเล,1,ชิ้น,  120.00 ,1,ชิ้น, ฿ 120.00 ,1,ชิ้น, ฿ 120.00 ,
391,FZ-0043,กรรเชียงปูจัมโบ้ 250 กรัม/แพ็ค,FZ,43,สุดทะเล,1,แพ็ค,  425.00 ,250,กรัม, ฿ 1.70 ,1,กรัม, ฿ 1.70 ,
392,FZ-0044,เอโร่ โบโลน่าไก่ 1000 กรัม,FZ,44,แม็คโคร,1,แพ็ค,  125.00 ,1,แพ็ค, ฿ 125.00 ,1000,กรัม, ฿ 0.13 ,
393,FZ-0045,ปลาทูน่าสด,FZ,45,แม็คโคร,1,กิโล,  719.00 ,1,กิโล, ฿ 719.00 ,1000,กรัม, ฿ 0.72 ,
394,FZ-0046,ARO เชดด้าชีส ชนิดก้อน 1000 ก,FZ,46,แม็คโคร,1,ก้อน,  360.00 ,1,กิโล, ฿ 360.00 ,1000,กรัม, ฿ 0.36 ,26/03/26
395,FZ-0047,บีเอ็มพี เบคอนพันไส้กรอกกลาง 500 ก.,FZ,47,แม็คโคร,1,แพ็ค,  120.00 ,1,แพ็ค, ฿ 120.00 ,500,กรัม, ฿ 0.24 ,
396,FZ-0048,ทีวีไอ ปูอัดเบนโตะ 500 กรัม,FZ,48,แม็คโคร,1,แพ็ค,  165.00 ,1,แพ็ค, ฿ 165.00 ,500,กรัม, ฿ 0.33 ,
397,FZ-0049,ลิตเติ้ลเชฟ แผ่นแป้งปอเปี๊ยะแช่แข็ง 8.5 40 แผ่น,FZ,49,Makro,1,แพ็ค,  85.00 ,1,แพ็ค, ฿ 85.00 ,40,แผ่น, ฿ 2.13 ,
398,FZ-0050,เอโร่ กุ้งขาวไว้หางแช่แข็ง (จำนวน 45-55 ตัว/แพ็ค) 1 ก.,FZ,50,แม็คโคร,1,แพ็ค,  185.00 ,1,แพ็ค, ฿ 185.00 ,41,ตัว, ฿ 4.51 ,
399,FZ-0051,เอโร่ สตรอว์เบอร์รีแช่แข็ง 1 กก.,FZ,51,Makro,1,แพ็ค,  89.00 ,1,ถุง, ฿ 89.00 ,1000,กรัม, ฿ 0.09 ,
400,FZ-0052,เอโร่ แซลมอนแอตแลนติกหั่นชิ้น แช่แข็ง 900 ก. (120-140 ก./ชิ้น),FZ,52,Makro,1,แพ็ค,  689.00 ,7,ชิ้น, ฿ 98.43 ,1,ชิ้น, ฿ 98.43 ,26/03/26
401,FZ-0053,ปลากะพงขาว,FZ,53,โกผอม,1,ตัว,  145.00 ,1000,กรัม, ฿ 0.15 ,1,กรัม, ฿ 0.15 ,
402,FZ-0054,ริชส์ นอนแดรี่ ครีมเมอร์ 454 ก.,FZ,54,แม็คโคร,1,กล่อง,  65.00 ,1,กล่อง, ฿ 65.00 ,454,กรัม, ฿ 0.14 ,
403,FZ-0055,ปลาทูู 10-12 ตัว/กก.,FZ,55,ตลาดสด,1,กิโล,  90.00 ,10,ตัว, ฿ 9.00 ,1,ตััว, ฿ 9.00 ,
404,JJ-0001,"หมูกรอบจำ แลง RT 200 G ""มีท อวตาร",JJ,1,Food Project,1,แพ็ค,  102.80 ,1,แพ็ค, ฿ 102.80 ,200,กรัม, ฿ 0.51 ,
405,JJ-0002,"หมูกรอบจำ แลง RT 400 G ""มีท อวตาร",JJ,2,Food Project,1,แพ็ค,  147.66 ,1,แพ็ค, ฿ 147.66 ,400,กรัม, ฿ 0.37 ,
406,JJ-0003,"หมูกรอบจำ แลงFS 400 G ""มีท อวตาร",JJ,3,Food Project,1,แพ็ค,  114.95 ,1,แพ็ค, ฿ 114.95 ,400,กรัม, ฿ 0.29 ,
407,JJ-0004,"หมูสับจำ แลงFS 1000 G ""มีท อวตาร",JJ,4,Food Project,1,แพ็ค,  157.01 ,1,แพ็ค, ฿ 157.01 ,1000,กรัม, ฿ 0.16 ,
408,JJ-0005,ปอเปี๊ยะเจ,JJ,5,Food Project,1,แพ็ค,  138.00 ,1,แพ็ค, ฿ 138.00 ,30,ชิ้น, ฿ 4.60 ,
409,JJ-0006,เกี๊ยวซ่าเจ,JJ,6,Food Project,1,แพ็ค,  163.00 ,1,แพ็ค, ฿ 163.00 ,40,ชิ้น, ฿ 4.08 ,
410,JJ-0007,ขนมจีบเจ,JJ,7,Food Project,1,แพ็ค,  125.00 ,1,แพ็ค, ฿ 125.00 ,30,ชิ้น, ฿ 4.17 ,
411,JJ-0008,พัฟเต้าหู้ญี่ปุ่นเจ ตรา  เอเวอร์เบสท์,JJ,8,Food Project,1,แพ็ค,  86.00 ,1,แพ็ค, ฿ 86.00 ,500,กรัม, ฿ 0.17 ,
412,JJ-0009,เนื้อเป็ดทรงเครื่องเจ ตรา เอเวอร์เบสท์,JJ,9,Food Project,1,แพ็ค,  64.00 ,1,แพ็ค, ฿ 64.00 ,250,กรัม, ฿ 0.26 ,
413,JJ-0010,เนื้อเป็ดพะโล้เจ ตรา เอเวอร์เบสท์,JJ,10,Food Project,1,แพ็ค,  94.00 ,1,แพ็ค, ฿ 94.00 ,500,กรัม, ฿ 0.19 ,
414,JJ-0011,ลูกชิ้นปลาเจ ตรา เอเวอร์เบสท์,JJ,11,Food Project,1,แพ็ค,  42.00 ,1,แพ็ค, ฿ 42.00 ,250,กรัม, ฿ 0.17 ,
415,JJ-0012,กุ้งชุบแป้งทอดเจ ตรา เอเวอร์เบสท์,JJ,12,Food Project,1,แพ็ค,  86.00 ,1,แพ็ค, ฿ 86.00 ,320,กรัม, ฿ 0.27 ,
416,JJ-0013,นักเกตจากพืช ตราแพลนท์โอเวอร์,JJ,13,Food Project,1,แพ็ค,  85.00 ,1,แพ็ค, ฿ 85.00 ,200,กรัม, ฿ 0.43 ,
1,SS-0001,เอโร่ พาสต้าสปาเก็ตตี้ 1000 กรัม,SS,1,แม็คโคร,1,แพ็ค,  95.00 ,1,แพ็ค, ฿ 95.00 ,1000,กรัม, ฿ 0.10 ,
17,SS-0002,ตราฉัตร ข้าวขาวหอมมะลิใหม่ 100% 5 กก.,SS,2,แม็คโคร,1,ถุง,  217.00 ,1,ถุง, ฿ 217.00 ,5000,กรัม, ฿ 0.04 ,26/03/26
18,SS-0003,เด็กสมบูรณ์ ซีอิ๊วขาว สูตร1 1000 มล. x 3 ขวด,SS,3,แม็คโคร,1,แพ็ค,  191.00 ,3,ขวด, ฿ 63.67 ,1000,มล., ฿ 0.06 ,
19,SS-0004,ปรุงทิพย์ เกลือบริโภคเสริมไอโอดีน 500 กรัม x 6 ถุง,SS,4,แม็คโคร,1,แพ็ค,  38.00 ,6,ถุง, ฿ 6.33 ,500,กรัม, ฿ 0.01 ,
20,SS-0005,มิตรผล น้ำตาลทรายขาวบริสุทธิ์ 1 กก. x 5 ถุง,SS,5,แม็คโคร,1,แพ็ค,  135.00 ,5,ถุง, ฿ 27.00 ,1000,กรัม, ฿ 0.03 ,
21,SS-0006,ตรามือที่ 1 พริกไทยขาวป่น 60 กรัม x 6 ขวด,SS,6,แม็คโคร,1,แพ็ค,  365.00 ,6,ขวด, ฿ 60.83 ,60,กรัม, ฿ 1.01 ,
22,SS-0007,โบนัส น้ำมันปาล์ม แกลลอน 5 ลิตร,SS,7,แม็คโคร,1,แกลลอน,  215.00 ,1,แกลอน, ฿ 215.00 ,5000,กรัม, ฿ 0.04 ,26/03/26
23,SS-0008,พรีโก้ พาสต้าซอสมะเขือเทศ รสดั้งเดิม 300 กรัม,SS,8,แม็คโคร,1,กระป๋อง,  63.00 ,1,กระป๋อง, ฿ 63.00 ,300,กรัม, ฿ 0.21 ,
24,SS-0009,หอมใหญ่นอก 1 กิโลกรัม,SS,9,แม็คโคร,1,กิโล,  33.00 ,1,แพ็ค, ฿ 33.00 ,1000,กรัม, ฿ 0.03 ,26/03/26
25,SS-0010,ตรามือที่ 1 ออริกาโน 100 กรัม,SS,10,แม็คโคร,1,แพ็ค,  95.00 ,1,แพ็ค, ฿ 95.00 ,100,กรัม, ฿ 0.95 ,
26,SS-0011,พริกไทยดำเม็ด 500 กรัม,SS,11,แม็คโคร,1,แพ็ค,  165.00 ,1,แพ็ค, ฿ 165.00 ,500,กรัม, ฿ 0.33 ,
27,SS-0012,ภูเขาทอง ซอสปรุงรส ฝาเขียว 3000 มล.,SS,12,แม็คโคร,1,แกลลอน,  158.00 ,1,แกลอน, ฿ 158.00 ,3000,มล., ฿ 0.05 ,
28,SS-0013,โรซ่า ซอสพริก 1000 กรัม,SS,13,แม็คโคร,1,ถุง,  33.00 ,1,ถุง, ฿ 33.00 ,1000,กรัม, ฿ 0.03 ,26/03/26
29,SS-0014,เอสแอนด์บี เครื่องแกงกะหรี่ เผ็ดมาก 220 กรัม,SS,14,แม็คโคร,1,กล่อง,  84.00 ,1,กล่อง, ฿ 84.00 ,220,กรัม, ฿ 0.38 ,
30,SS-0015,น้ำเปล่า,SS,15,ผลิตเอง,1,ลบ.ม.,  10.20 ,1000000,ml, ฿ 0.00 ,1,มล., ฿ 0.00 ,
31,SS-0016,งาดำ 500 กรัม,SS,16,แม็คโคร,1,แพ็ค,  73.00 ,1,แพ็ค, ฿ 73.00 ,500,กรัม, ฿ 0.15 ,
32,SS-0017,ตรามือที่ 1 ปาปริก้าป่น 200 กรัม,SS,17,แม็คโคร,1,แพ็ค,  75.00 ,1,แพ็ค, ฿ 75.00 ,200,กรัม, ฿ 0.38 ,
34,SS-0018,นกขั้วโลก ซอสหอยนางรม สูตร 3  4500 กรัม,SS,18,แม็คโคร,1,แกลลอน,  71.00 ,1,แกลอน, ฿ 71.00 ,4500,กรัม, ฿ 0.02 ,
39,SS-0019,เด็กสมบูรณ์ ซีอิ๊วดำ สูตร5 2700 กรัม,SS,19,แม็คโคร,1,แกลลอน,  81.00 ,1,แกลอน, ฿ 81.00 ,2700,กรัม, ฿ 0.03 ,
42,SS-0020,กะทิกล่อง อร่อยดี 1000 กรัม*2กล่อง,SS,20,แม็คโคร,1,แพ็ค,  160.00 ,2,กล่อง, ฿ 80.00 ,1000,กรัม, ฿ 0.08 ,26/03/26
44,SS-0021,กุ้งแห้งป่น 500 กรัม,SS,21,ตลาดสด,1,แพ็ค,  300.00 ,1,แพ็ค, ฿ 300.00 ,500,กรัม, ฿ 0.60 ,
45,SS-0022,ทิพรส น้ำปลาแท้ ฉลากสีเหลือง 4500 มล.,SS,22,แม็คโคร,1,แกลลอน,  179.00 ,1,แกลอน, ฿ 179.00 ,4500,มล., ฿ 0.04 ,
47,SS-0023,ฮานะมารูคิ ดาชิ อิริ โอก้าซัง มิโซะ 1000 กรัม,SS,23,แม็คโคร,1,แพ็ค,  99.00 ,1,แพ็ค, ฿ 99.00 ,1000,กรัม, ฿ 0.10 ,
48,SS-0024,ดาชิ,SS,24,แม็คโคร,1,แพ็ค,  95.00 ,1,แพ็ค, ฿ 95.00 ,100,กรัม, ฿ 0.95 ,
49,SS-0025,สาหร่ายวาเกเมะ 100 กรัม,SS,25,แม็คโคร,1,แพ็ค,  92.00 ,1,แพ็ค, ฿ 92.00 ,100,กรัม, ฿ 0.92 ,
55,SS-0026,ปลาหมึกแห้ง,SS,26,ตลาดสด,1,ตัว,  75.00 ,1,ตัว, ฿ 75.00 ,100,กรัม, ฿ 0.75 ,31/3/25
57,SS-0027,หมี่ซั่วเส้นเล็ก,SS,27,ตลาดสด,1,กิโล,  15.00 ,1,แพ็ค, ฿ 15.00 ,500,กรัม, ฿ 0.03 ,
59,SS-0028,หอมแดงเจียว 1000 กรัม,SS,28,แม็คโคร,1,ถุง,  263.00 ,1,ถุง, ฿ 263.00 ,1000,กรัม, ฿ 0.26 ,
61,SS-0029,ชุดตุ๋นสมุนไพรจีน 100 กรัม,SS,29,แม็คโคร,1,แพ็ค,  65.00 ,1,แพ็ค, ฿ 65.00 ,100,กรัม, ฿ 0.65 ,
62,SS-0030,เห็ดหอมแห้ง ตราเอโร่ 500 กรัม,SS,30,แม็คโคร,1,แพ็ค,  230.00 ,1,แพ็ค, ฿ 230.00 ,500,กรัม, ฿ 0.46 ,26/03/26
67,SS-0031,ตั้งช่าย,SS,31,ตลาดสด,1,ถุง,  30.00 ,1,ถุง, ฿ 30.00 ,500,กรัม, ฿ 0.06 ,24/3/25
70,SS-0032,ฮอยซินซอส,SS,32,Panfood,1,กระปุก,  94.50 ,1,กระปุก, ฿ 94.50 ,240,กรัม, ฿ 0.39 ,28/12/25
71,SS-0033,น้ำผึ้ง ตราซันฟอเรสท์ 1000 ก.*2,SS,33,แม็คโคร,1,แพ็ค,  420.00 ,2,ขวด, ฿ 210.00 ,1000,กรัม, ฿ 0.21 ,
72,SS-0034,มิตรผล น้ำตาลทรายแดง 500 กรัม x 4 ถุง,SS,34,แม็คโคร,1,แพ็ค,  115.00 ,4,ถุง, ฿ 28.75 ,500,กรัม, ฿ 0.06 ,
73,SS-0035,โลโบ ผงพะโล้ 65 กรัม x 3 ซอง,SS,35,แม็คโคร,1,แพ็ค,  83.00 ,3,ซอง, ฿ 27.67 ,65,กรัม, ฿ 0.43 ,
75,SS-0036,อสร. น้ำส้มสายชูกลั่น5% 3 ลิตร,SS,36,แม็คโคร,1,แกลลอน,  59.00 ,1,แกลอน, ฿ 59.00 ,3000,กรัม, ฿ 0.02 ,26/03/26
78,SS-0037,ไร่ทิพย์ พริกขี้หนูสวนป่น 500 กรัม,SS,37,แม็คโคร,1,แพ็ค,  95.00 ,1,แพ็ค, ฿ 95.00 ,500,กรัม, ฿ 0.19 ,
79,SS-0038,อิมพีเรียล แพนเค้ก มิกซ์ แป้งสำหรับทำแพนเค้ก 1 กก.,SS,38,แม็คโคร,1,ถุง,  109.00 ,1,ถุง, ฿ 109.00 ,1000,กรัม, ฿ 0.11 ,
82,SS-0039,ลิน น้ำตาลไอซิ่ง 900 กรัม,SS,39,แม็คโคร,1,แพ็ค,  42.00 ,1,แพ็ค, ฿ 42.00 ,900,กรัม, ฿ 0.05 ,
83,SS-0040,ซอสช็อคโกแลต,SS,40,แม็คโคร,1,ขวด,  59.00 ,1,ขวด, ฿ 59.00 ,310,กรัม, ฿ 0.19 ,
85,SS-0041,น้ำส้มสายชูสับปะรด,SS,41,โลตัส,1,ขวด,  22.00 ,1,ขวด, ฿ 22.00 ,750,กรัม, ฿ 0.03 ,
86,SS-0042,กระเทียมเจียว 1000 กรัม,SS,42,แม็คโคร,1,ถุง,  180.00 ,1,ถุง, ฿ 180.00 ,1000,กรัม, ฿ 0.18 ,
87,SS-0043,อบเชย 200 กรัม,SS,43,แม็คโคร,1,แพ็ค,  87.00 ,1,แพ็ค, ฿ 87.00 ,200,กรัม, ฿ 0.44 ,
90,SS-0044,เซพแพ็ค เกล็ดขนมปัง 1 กก.,SS,44,แม็คโคร,1,ถุง,  60.00 ,1,ถุง, ฿ 60.00 ,1000,กรัม, ฿ 0.06 ,
91,SS-0045,ตราว่าว แป้งอเนกประสงค์ 1 กิโลกรัม,SS,45,แม็คโคร,1,ถุง,  37.00 ,1,ถุง, ฿ 37.00 ,1000,กรัม, ฿ 0.04 ,
96,SS-0046,เบสท์ฟูดส์ ซีซ่าส์เดรสซิ่ง 1000 กรัม,SS,46,แม็คโคร,1,ถุง,  135.00 ,1,ถุง, ฿ 135.00 ,1000,กรัม, ฿ 0.14 ,26/03/26
100,SS-0047,งาขาว 500 กรัม,SS,47,แม็คโคร,1,ถุง,  65.00 ,1,ถุง, ฿ 65.00 ,500,กรัม, ฿ 0.13 ,
102,SS-0048,มะพร้าวอบกรอบ 500 กรัม,SS,48,Shopee,1,ถุง,  40.00 ,1,ถุว, ฿ 40.00 ,500,กรัม, ฿ 0.08 ,
103,SS-0049,เบสท์ฟู้ดส์ เรียล มายองเนส 1 กิโลกรัม,SS,49,แม็คโคร,1,ถุง,  142.00 ,1,ถุง, ฿ 142.00 ,1000,กรัม, ฿ 0.14 ,
105,SS-0050,น้ำมันสลัด,SS,50,แม็คโคร,1,แกลลอน,  299.00 ,1,แกลอน, ฿ 299.00 ,3300,กรัม, ฿ 0.09 ,
110,SS-0051,แป้งมัน,SS,51,แม็คโคร,1,ถุง,  33.00 ,1,ถุง, ฿ 33.00 ,1000,กรัม, ฿ 0.03 ,
114,SS-0052,พริกจินดาแห้ง,SS,52,แม็คโคร,1,แพ็ค,  109.00 ,1,แพ็ค, ฿ 109.00 ,1000,กรัม, ฿ 0.11 ,
117,SS-0053,พริกแกงขนมจีน,SS,53,แม็คโคร,1,ถุง,  49.00 ,1,ถุง, ฿ 49.00 ,400,กรัม, ฿ 0.12 ,
118,SS-0054,กุหลาบแดง น้ำตาลเหลว 1000 กรัม,SS,54,แม็คโคร,1,ถุง,  49.00 ,1,ถุง, ฿ 49.00 ,1000,กรัม, ฿ 0.05 ,
119,SS-0055,มะขามเปียก,SS,55,ตลาดสด,1,แพ็ค,  50.00 ,1,ถุง, ฿ 50.00 ,500,กรัม, ฿ 0.10 ,
120,SS-0056,ถั่วลิสงป่น,SS,56,แม็คโคร,1,ถุง,  46.00 ,1,ถุง, ฿ 46.00 ,500,กรัม, ฿ 0.09 ,
122,SS-0057,น้ำจิ้มไก่ แม่ประนอม,SS,57,โลตัส,1,ถุง,  26.00 ,1,ถุง, ฿ 26.00 ,1000,กรัม, ฿ 0.03 ,
125,SS-0058,เอล ชาร์โร ทาโก้เชลล์ 6 นิ้ว 165 กรัม,SS,58,แม็คโคร,1,ถุง,  115.00 ,1,ถุง, ฿ 115.00 ,10,ชิ้น, ฿ 11.50 ,
128,SS-0059,ใบกระวาน,SS,59,แม็คโคร,1,แพ็ค,  25.00 ,1,แพ็ค, ฿ 25.00 ,50,กรัม, ฿ 0.50 ,
129,SS-0060,โรซ่า ซอสมะเขือเทศ 1000 กรัม,SS,60,แม็คโคร,1,ถุง,  37.00 ,1,ถุง, ฿ 37.00 ,1000,กรัม, ฿ 0.04 ,26/03/26
130,SS-0061,ผงสไปซี่โลโบ้,SS,61,Top,1,ถุง,  19.00 ,1,ถุง, ฿ 19.00 ,50,กรัม, ฿ 0.38 ,
137,SS-0062,อิมพีเรียล ท็อปปิ้ง รสช็อกโกแลต 310 กรัม,SS,62,แม็คโคร,1,ขวด,  56.00 ,1,ขวด, ฿ 56.00 ,310,กรัม, ฿ 0.18 ,
138,SS-0063,บัลซามิก เกลซ,SS,63,แม็คโคร,1,ขวด,  219.00 ,1,ขวด, ฿ 219.00 ,200,กรัม, ฿ 1.10 ,
139,SS-0064,แครนเบอร์รี่ผลไม้อบแห้ง,SS,64,Shopee,1,แพ็ค,  145.00 ,1,แพ็ค, ฿ 145.00 ,1000,กรัม, ฿ 0.15 ,
143,SS-0065,เฮอริเทจ วอลนัทดิบ ชิ้นใหญ่ 454 กรัม,SS,65,แม็คโคร,1,ถุง,  321.00 ,1,ถุง, ฿ 321.00 ,454,กรัม, ฿ 0.71 ,
145,SS-0066,เฟร้นต์มัสตาร์ดครีม,SS,66,แม็คโคร,1,ขวด,  76.00 ,1,ขวด, ฿ 76.00 ,226,กรัม, ฿ 0.34 ,
146,SS-0067,ปลาเค็มแอนโชวี่ในน้ำมันมะกอก 50 กรัม,SS,67,แม็คโคร,1,กระป๋อง,  630.00 ,1,กระป๋อง, ฿ 630.00 ,50,กรัม, ฿ 12.60 ,
147,SS-0068,เอโร่ เม็ดมะม่วงหิมพานต์ซีก 800 กรัม,SS,68,แม็คโคร,1,ถุง,  213.00 ,1,ถุง, ฿ 213.00 ,800,กรัม, ฿ 0.27 ,26/03/26
149,SS-0069,ผงกระหรี่,SS,69,แม็คโคร,1,ถุง,  137.00 ,1,ถุง, ฿ 137.00 ,500,กรัม, ฿ 0.27 ,
150,SS-0070,ผงกระเทียม,SS,70,แม็คโคร,1,ถุง,  95.00 ,1,ถุง, ฿ 95.00 ,148,กรัม, ฿ 0.64 ,
151,SS-0071,แป้งทอดกรอบ ตราครัววังทิพย์ 1000 กรัม,SS,71,แม็คโคร,1,ถุง,  51.00 ,1,ถุง, ฿ 51.00 ,1000,กรัม, ฿ 0.05 ,
152,SS-0072,โกชูจัง ฮอท เปปเปอร์ เพสท์ 500 กรัม,SS,72,แม็คโคร,1,กระปุก,  185.00 ,1,กระปุก, ฿ 185.00 ,500,กรัม, ฿ 0.37 ,
153,SS-0073,เอโร่ ซอสโชยุ 1 ลิตร,SS,73,แม็คโคร,1,ขวด,  57.00 ,1,ขวด, ฿ 57.00 ,1000,กรัม, ฿ 0.06 ,
155,SS-0074,TaTar Sauce,SS,74,Food Project,1,ถุง,  95.00 ,1,ถุง, ฿ 95.00 ,1000,กรัม, ฿ 0.10 ,
157,SS-0075,ยัมมี่ ผงปรุงรสรส รสชีส 100 กรัม x 4 ซอง,SS,75,แม็คโคร,1,แพ็ค,  92.00 ,4,ซอง, ฿ 23.00 ,400,กรัม, ฿ 0.06 ,
158,SS-0076,ยัมมี่ ผงปรุงรส รสบาร์บีคิว 100 กรัม x 4 ซอง,SS,76,แม็คโคร,1,แพ็ค,  99.00 ,4,ซอง, ฿ 24.75 ,400,กรัม, ฿ 0.06 ,
165,SS-0077,ใบมะกรูด,SS,77,ตลาดสด,1,กรัม,  10.00 ,1,กรัม, ฿ 10.00 ,100,กรัม, ฿ 0.10 ,
169,SS-0078,กลิ่นวนิลา IMITATION,SS,78,แม็คโคร,1,ขวด,  170.00 ,1,ขวด, ฿ 170.00 ,430,กรัม, ฿ 0.40 ,
170,SS-0079,อบเชยป่น 200 กรัม,SS,79,แม็คโคร,1,แพ็ค,  84.75 ,1,แพ็ค, ฿ 84.75 ,200,กรัม, ฿ 0.42 ,
171,SS-0080,อบเชยแท่ง ARO 1000 กรัม,SS,80,แม็คโคร,1,แพ็ค,  325.00 ,1,แพ็ค, ฿ 325.00 ,1000,กรัม, ฿ 0.33 ,
172,SS-0081,โป๊ยกั๊ก 500 กรัม,SS,81,แม็คโคร,1,แพ็ค,  399.00 ,1,แพ็ค, ฿ 399.00 ,500,กรัม, ฿ 0.80 ,
179,SS-0082,ไมก้า ซอสมะเขือเทศเข้มข้น 170 กรัม x 6 กระป๋อง,SS,82,แม็คโคร,1,แพ็ค,  185.00 ,6,กระป๋อง, ฿ 30.83 ,170,กรัม, ฿ 0.18 ,
180,SS-0083,เอโร่ ลูกเกดดำ 1000 กรัม,SS,83,แม็คโคร,1,แพ็ค,  139.00 ,1,แพ็ค, ฿ 139.00 ,1000,กรัม, ฿ 0.14 ,
181,SS-0084,ทิปโก้ สควีซ น้ำส้มสายน้ำผึ้ง 100% พาสเจอร์ไรซ์ 1000 มล.,SS,84,แม็คโคร,1,กล่อง,  75.00 ,1,กล่อง, ฿ 75.00 ,1000,กรัม, ฿ 0.08 ,
182,SS-0085,แครกเกอร์โรซี่,SS,85,แม็คโคร,1,กล่อง,  50.00 ,1,กรัม, ฿ 50.00 ,300,กรัม, ฿ 0.17 ,
183,SS-0086,HIRAM WALKER TRIPLE SEC,SS,86,แม็คโคร,1,ขวด,  779.00 ,1,ขวด, ฿ 779.00 ,1,กรัม, ฿ 779.00 ,
185,SS-0087,คริสโป มะกอกดำไม่มีเมล็ด 387 กรัม,SS,87,แม็คโคร,1,ขวด,  107.00 ,1,กระป๋อง, ฿ 107.00 ,387,กรัม, ฿ 0.28 ,
